Time Stamp,Time Zone,Name,PTID,Integrated Load
1/16/2004 0:00,EST,CAPITL,61757,1406
1/16/2004 0:00,EST,CENTRL,61754,2146
1/16/2004 0:00,EST,DUNWOD,61760,696
1/16/2004 0:00,EST,GENESE,61753,1126
1/16/2004 0:00,EST,HUD VL,61758,1260
1/16/2004 0:00,EST,MHK VL,61756,1014
1/16/2004 0:00,EST,MILLWD,61759,343
1/16/2004 0:00,EST,N.Y.C._LONGIL,,8088
1/16/2004 0:00,EST,NORTH,61755,787
1/16/2004 0:00,EST,WEST,61752,1850
1/16/2004 1:00,EST,CAPITL,61757,1367
1/16/2004 1:00,EST,CENTRL,61754,2102
1/16/2004 1:00,EST,DUNWOD,61760,669
1/16/2004 1:00,EST,GENESE,61753,1101
1/16/2004 1:00,EST,HUD VL,61758,1230
1/16/2004 1:00,EST,MHK VL,61756,989
1/16/2004 1:00,EST,MILLWD,61759,329
1/16/2004 1:00,EST,N.Y.C._LONGIL,,7754
1/16/2004 1:00,EST,NORTH,61755,781
1/16/2004 1:00,EST,WEST,61752,1819
1/16/2004 2:00,EST,CAPITL,61757,1347
1/16/2004 2:00,EST,CENTRL,61754,2072
1/16/2004 2:00,EST,DUNWOD,61760,663
1/16/2004 2:00,EST,GENESE,61753,1091
1/16/2004 2:00,EST,HUD VL,61758,1220
1/16/2004 2:00,EST,MHK VL,61756,979
1/16/2004 2:00,EST,MILLWD,61759,322
1/16/2004 2:00,EST,N.Y.C._LONGIL,,7570
1/16/2004 2:00,EST,NORTH,61755,780
1/16/2004 2:00,EST,WEST,61752,1802
1/16/2004 3:00,EST,CAPITL,61757,1341
1/16/2004 3:00,EST,CENTRL,61754,2066
1/16/2004 3:00,EST,DUNWOD,61760,659
1/16/2004 3:00,EST,GENESE,61753,1077
1/16/2004 3:00,EST,HUD VL,61758,1218
1/16/2004 3:00,EST,MHK VL,61756,976
1/16/2004 3:00,EST,MILLWD,61759,321
1/16/2004 3:00,EST,N.Y.C._LONGIL,,7479
1/16/2004 3:00,EST,NORTH,61755,778
1/16/2004 3:00,EST,WEST,61752,1797
1/16/2004 4:00,EST,CAPITL,61757,1360
1/16/2004 4:00,EST,CENTRL,61754,2087
1/16/2004 4:00,EST,DUNWOD,61760,666
1/16/2004 4:00,EST,GENESE,61753,1094
1/16/2004 4:00,EST,HUD VL,61758,1217
1/16/2004 4:00,EST,MHK VL,61756,991
1/16/2004 4:00,EST,MILLWD,61759,332
1/16/2004 4:00,EST,N.Y.C._LONGIL,,7517
1/16/2004 4:00,EST,NORTH,61755,781
1/16/2004 4:00,EST,WEST,61752,1801
1/16/2004 5:00,EST,CAPITL,61757,1449
1/16/2004 5:00,EST,CENTRL,61754,2218
1/16/2004 5:00,EST,DUNWOD,61760,696
1/16/2004 5:00,EST,GENESE,61753,1153
1/16/2004 5:00,EST,HUD VL,61758,1276
1/16/2004 5:00,EST,MHK VL,61756,1061
1/16/2004 5:00,EST,MILLWD,61759,348
1/16/2004 5:00,EST,N.Y.C._LONGIL,,7860
1/16/2004 5:00,EST,NORTH,61755,791
1/16/2004 5:00,EST,WEST,61752,1868
1/16/2004 6:00,EST,CAPITL,61757,1612
1/16/2004 6:00,EST,CENTRL,61754,2400
