Time Stamp,Time Zone,Name,PTID,Integrated Load
1/15/2004 10:00,EST,N.Y.C._LONGIL,,10159
1/15/2004 10:00,EST,NORTH,61755,819
1/15/2004 10:00,EST,WEST,61752,2268
1/15/2004 11:00,EST,CAPITL,61757,1682
1/15/2004 11:00,EST,CENTRL,61754,2547
1/15/2004 11:00,EST,DUNWOD,61760,878
1/15/2004 11:00,EST,GENESE,61753,1456
1/15/2004 11:00,EST,HUD VL,61758,1498
1/15/2004 11:00,EST,MHK VL,61756,1153
1/15/2004 11:00,EST,MILLWD,61759,371
1/15/2004 11:00,EST,N.Y.C._LONGIL,,10200
1/15/2004 11:00,EST,NORTH,61755,812
1/15/2004 11:00,EST,WEST,61752,2268
1/15/2004 12:00,EST,CAPITL,61757,1648
1/15/2004 12:00,EST,CENTRL,61754,2521
1/15/2004 12:00,EST,DUNWOD,61760,871
1/15/2004 12:00,EST,GENESE,61753,1443
1/15/2004 12:00,EST,HUD VL,61758,1478
1/15/2004 12:00,EST,MHK VL,61756,1118
1/15/2004 12:00,EST,MILLWD,61759,368
1/15/2004 12:00,EST,N.Y.C._LONGIL,,10180
1/15/2004 12:00,EST,NORTH,61755,808
1/15/2004 12:00,EST,WEST,61752,2261
1/15/2004 13:00,EST,CAPITL,61757,1622
1/15/2004 13:00,EST,CENTRL,61754,2733
1/15/2004 13:00,EST,DUNWOD,61760,859
1/15/2004 13:00,EST,GENESE,61753,1440
1/15/2004 13:00,EST,HUD VL,61758,1470
1/15/2004 13:00,EST,MHK VL,61756,1179
1/15/2004 13:00,EST,MILLWD,61759,367
1/15/2004 13:00,EST,N.Y.C._LONGIL,,10185
1/15/2004 13:00,EST,NORTH,61755,823
1/15/2004 13:00,EST,WEST,61752,2259
1/15/2004 14:00,EST,CAPITL,61757,1621
1/15/2004 14:00,EST,CENTRL,61754,2483
1/15/2004 14:00,EST,DUNWOD,61760,853
1/15/2004 14:00,EST,GENESE,61753,1433
1/15/2004 14:00,EST,HUD VL,61758,1463
1/15/2004 14:00,EST,MHK VL,61756,1179
1/15/2004 14:00,EST,MILLWD,61759,367
1/15/2004 14:00,EST,N.Y.C._LONGIL,,10185
1/15/2004 14:00,EST,NORTH,61755,823
1/15/2004 14:00,EST,WEST,61752,2234
1/15/2004 15:00,EST,CAPITL,61757,1641
1/15/2004 15:00,EST,CENTRL,61754,2483
1/15/2004 15:00,EST,DUNWOD,61760,855
1/15/2004 15:00,EST,GENESE,61753,1429
1/15/2004 15:00,EST,HUD VL,61758,1466
1/15/2004 15:00,EST,MHK VL,61756,1202
1/15/2004 15:00,EST,MILLWD,61759,373
1/15/2004 15:00,EST,N.Y.C._LONGIL,,10238
1/15/2004 15:00,EST,NORTH,61755,828
1/15/2004 15:00,EST,WEST,61752,2209
1/15/2004 16:00,EST,CAPITL,61757,1724
1/15/2004 16:00,EST,CENTRL,61754,2558
1/15/2004 16:00,EST,DUNWOD,61760,884
1/15/2004 16:00,EST,GENESE,61753,1458
1/15/2004 16:00,EST,HUD VL,61758,1525
1/15/2004 16:00,EST,MHK VL,61756,1266
1/15/2004 16:00,EST,MILLWD,61759,392
1/15/2004 16:00,EST,N.Y.C._LONGIL,,10502
1/15/2004 16:00,EST,NORTH,61755,841
1/15/2004 16:00,EST,WEST,61752,2253
1/15/2004 17:00,EST,CAPITL,61757,1910
1/15/2004 17:00,EST,CENTRL,61754,2720
1/15/2004 17:00,EST,DUNWOD,61760,965
1/15/2004 17:00,EST,GENESE,61753,1558
1/15/2004 17:00,EST,HUD VL,61758,1679
1/15/2004 17:00,EST,MHK VL,61756,1362
1/15/2004 17:00,EST,MILLWD,61759,456
1/15/2004 17:00,EST,N.Y.C._LONGIL,,11176
1/15/2004 17:00,EST,NORTH,61755,861
1/15/2004 17:00,EST,WEST,61752,2395
1/15/2004 18:00,EST,CAPITL,61757,1944
1/15/2004 18:00,EST,CENTRL,61754,2755
1/15/2004 18:00,EST,DUNWOD,61760,981
1/15/2004 18:00,EST,GENESE,61753,1576
1/15/2004 18:00,EST,HUD VL,61758,1720
1/15/2004 18:00,EST,MHK VL,61756,1344
1/15/2004 18:00,EST,MILLWD,61759,478
1/15/2004 18:00,EST,N.Y.C._LONGIL,,11174
1/15/2004 18:00,EST,NORTH,61755,857
1/15/2004 18:00,EST,WEST,61752,2433
1/15/2004 19:00,EST,CAPITL,61757,1903
1/15/2004 19:00,EST,CENTRL,61754,2702
1/15/2004 19:00,EST,DUNWOD,61760,959
1/15/2004 19:00,EST,GENESE,61753,1529
1/15/2004 19:00,EST,HUD VL,61758,1686
1/15/2004 19:00,EST,MHK VL,61756,1323
1/15/2004 19:00,EST,MILLWD,61759,481
1/15/2004 19:00,EST,N.Y.C._LONGIL,,10882
1/15/2004 19:00,EST,NORTH,61755,854
1/15/2004 19:00,EST,WEST,61752,2403
1/15/2004 20:00,EST,CAPITL,61757,1841
1/15/2004 20:00,EST,CENTRL,61754,2620
1/15/2004 20:00,EST,DUNWOD,61760,935
1/15/2004 20:00,EST,GENESE,61753,1487
1/15/2004 20:00,EST,HUD VL,61758,1632
1/15/2004 20:00,EST,MHK VL,61756,1290
1/15/2004 20:00,EST,MILLWD,61759,470
1/15/2004 20:00,EST,N.Y.C._LONGIL,,10553
1/15/2004 20:00,EST,NORTH,61755,830
1/15/2004 20:00,EST,WEST,61752,2331
1/15/2004 21:00,EST,CAPITL,61757,1745
1/15/2004 21:00,EST,CENTRL,61754,2512
1/15/2004 21:00,EST,DUNWOD,61760,878
1/15/2004 21:00,EST,GENESE,61753,1405
1/15/2004 21:00,EST,HUD VL,61758,1552
1/15/2004 21:00,EST,MHK VL,61756,1220
1/15/2004 21:00,EST,MILLWD,61759,441
1/15/2004 21:00,EST,N.Y.C._LONGIL,,10092
1/15/2004 21:00,EST,NORTH,61755,816
1/15/2004 21:00,EST,WEST,61752,2246
1/15/2004 22:00,EST,CAPITL,61757,1604
1/15/2004 22:00,EST,CENTRL,61754,2375
1/15/2004 22:00,EST,DUNWOD,61760,817
1/15/2004 22:00,EST,GENESE,61753,1303
1/15/2004 22:00,EST,HUD VL,61758,1442
1/15/2004 22:00,EST,MHK VL,61756,1141
1/15/2004 22:00,EST,MILLWD,61759,397
1/15/2004 22:00,EST,N.Y.C._LONGIL,,9413
1/15/2004 22:00,EST,NORTH,61755,802
1/15/2004 22:00,EST,WEST,61752,2089
1/15/2004 23:00,EST,CAPITL,61757,1484
1/15/2004 23:00,EST,CENTRL,61754,2249
1/15/2004 23:00,EST,DUNWOD,61760,749
1/15/2004 23:00,EST,GENESE,61753,1203
1/15/2004 23:00,EST,HUD VL,61758,1341
1/15/2004 23:00,EST,MHK VL,61756,1067
1/15/2004 23:00,EST,MILLWD,61759,363
1/15/2004 23:00,EST,N.Y.C._LONGIL,,8705
1/15/2004 23:00,EST,NORTH,61755,792
1/15/2004 23:00,EST,WEST,61752,1944
