Time Stamp,Time Zone,Name,PTID,Integrated Load
1/8/2004 0:00,EST,CAPITL,61757,1171
1/8/2004 0:00,EST,CENTRL,61754,1919
1/8/2004 0:00,EST,DUNWOD,61760,609
1/8/2004 0:00,EST,GENESE,61753,1039
1/8/2004 0:00,EST,HUD VL,61758,1124
1/8/2004 0:00,EST,MHK VL,61756,813
1/8/2004 0:00,EST,MILLWD,61759,274
1/8/2004 0:00,EST,N.Y.C._LONGIL,,7217
1/8/2004 0:00,EST,NORTH,61755,722
1/8/2004 0:00,EST,WEST,61752,1786
1/8/2004 1:00,EST,CAPITL,61757,1143
1/8/2004 1:00,EST,CENTRL,61754,1874
1/8/2004 1:00,EST,DUNWOD,61760,576
1/8/2004 1:00,EST,GENESE,61753,1013
1/8/2004 1:00,EST,HUD VL,61758,1082
1/8/2004 1:00,EST,MHK VL,61756,793
1/8/2004 1:00,EST,MILLWD,61759,266
1/8/2004 1:00,EST,N.Y.C._LONGIL,,6842
1/8/2004 1:00,EST,NORTH,61755,716
1/8/2004 1:00,EST,WEST,61752,1742
1/8/2004 2:00,EST,CAPITL,61757,1133
1/8/2004 2:00,EST,CENTRL,61754,1842
1/8/2004 2:00,EST,DUNWOD,61760,559
1/8/2004 2:00,EST,GENESE,61753,1000
1/8/2004 2:00,EST,HUD VL,61758,1065
1/8/2004 2:00,EST,MHK VL,61756,783
1/8/2004 2:00,EST,MILLWD,61759,259
1/8/2004 2:00,EST,N.Y.C._LONGIL,,6671
1/8/2004 2:00,EST,NORTH,61755,711
1/8/2004 2:00,EST,WEST,61752,1711
1/8/2004 3:00,EST,CAPITL,61757,1133
1/8/2004 3:00,EST,CENTRL,61754,1838
1/8/2004 3:00,EST,DUNWOD,61760,551
1/8/2004 3:00,EST,GENESE,61753,995
1/8/2004 3:00,EST,HUD VL,61758,1056
1/8/2004 3:00,EST,MHK VL,61756,785
1/8/2004 3:00,EST,MILLWD,61759,261
1/8/2004 3:00,EST,N.Y.C._LONGIL,,6599
1/8/2004 3:00,EST,NORTH,61755,709
1/8/2004 3:00,EST,WEST,61752,1692
1/8/2004 4:00,EST,CAPITL,61757,1136
1/8/2004 4:00,EST,CENTRL,61754,1857
1/8/2004 4:00,EST,DUNWOD,61760,636
1/8/2004 4:00,EST,GENESE,61753,1014
1/8/2004 4:00,EST,HUD VL,61758,1064
1/8/2004 4:00,EST,MHK VL,61756,809
1/8/2004 4:00,EST,MILLWD,61759,271
1/8/2004 4:00,EST,N.Y.C._LONGIL,,6546
1/8/2004 4:00,EST,NORTH,61755,718
1/8/2004 4:00,EST,WEST,61752,1708
1/8/2004 5:00,EST,CAPITL,61757,1231
1/8/2004 5:00,EST,CENTRL,61754,1986
1/8/2004 5:00,EST,DUNWOD,61760,779
1/8/2004 5:00,EST,GENESE,61753,1115
1/8/2004 5:00,EST,HUD VL,61758,1127
1/8/2004 5:00,EST,MHK VL,61756,885
1/8/2004 5:00,EST,MILLWD,61759,297
1/8/2004 5:00,EST,N.Y.C._LONGIL,,6781
1/8/2004 5:00,EST,NORTH,61755,738
1/8/2004 5:00,EST,WEST,61752,1801
1/8/2004 6:00,EST,CAPITL,61757,1438
1/8/2004 6:00,EST,CENTRL,61754,2240
1/8/2004 6:00,EST,DUNWOD,61760,866
1/8/2004 6:00,EST,GENESE,61753,1278
1/8/2004 6:00,EST,HUD VL,61758,1265
1/8/2004 6:00,EST,MHK VL,61756,1023
1/8/2004 6:00,EST,MILLWD,61759,343
1/8/2004 6:00,EST,N.Y.C._LONGIL,,7622
1/8/2004 6:00,EST,NORTH,61755,780
1/8/2004 6:00,EST,WEST,61752,1991
1/8/2004 7:00,EST,CAPITL,61757,1554
1/8/2004 7:00,EST,CENTRL,61754,2347
1/8/2004 7:00,EST,DUNWOD,61760,866
1/8/2004 7:00,EST,GENESE,61753,1367
1/8/2004 7:00,EST,HUD VL,61758,1365
1/8/2004 7:00,EST,MHK VL,61756,1080
1/8/2004 7:00,EST,MILLWD,61759,362
1/8/2004 7:00,EST,N.Y.C._LONGIL,,8238
1/8/2004 7:00,EST,NORTH,61755,797
1/8/2004 7:00,EST,WEST,61752,2133
1/8/2004 8:00,EST,CAPITL,61757,1549
1/8/2004 8:00,EST,CENTRL,61754,2335
1/8/2004 8:00,EST,DUNWOD,61760,776
1/8/2004 8:00,EST,GENESE,61753,1354
1/8/2004 8:00,EST,HUD VL,61758,1382
1/8/2004 8:00,EST,MHK VL,61756,1077
1/8/2004 8:00,EST,MILLWD,61759,350
1/8/2004 8:00,EST,N.Y.C._LONGIL,,9261
1/8/2004 8:00,EST,NORTH,61755,795
1/8/2004 8:00,EST,WEST,61752,2136
1/8/2004 9:00,EST,CAPITL,61757,1533
1/8/2004 9:00,EST,CENTRL,61754,2335
1/8/2004 9:00,EST,DUNWOD,61760,804
1/8/2004 9:00,EST,GENESE,61753,1346
